Question	Answer	Source	Metadata	SuggestedQuestions	IsContextOnly	Prompts	QnaId
How can I get extra support in class?	You can speak to someone in the ALN Hub about this. Or, you can contact the ALN Team on the Student Portal	QnA.xlsx		[]	false	[]	14
What is ALN?	ALN means Additional Learning Needs. This is what Special Educational Needs are known as. 	QnA.xlsx		[]	false	[]	15
I think I am dyslexic. Where can I get help?	If you think you are dyslexic, talk to your tutor or visit the Skills Centre in your local campus for help.	QnA.xlsx		[]	false	[]	16
I had extra time for exams in school, do I still get this in college?	If you have previously had extra time in school, please speak to your tutor about this and speak to someone in the ALN Hub. 	QnA.xlsx		[]	false	[]	17
I have previously had Exam Access Arrangements. Will I still have these in college?	If you have previously had exam access arranagements in school, please speak to your tutor about this and speak to someone in the ALN Hub. 	QnA.xlsx		[]	false	[]	18
Will you talk to my parents/carer about what I disclose in college?	We will only ever speak to your parents/carer if you have consented to us doing so.	QnA.xlsx		[]	false	[]	19
What is Hub Club?	Hub Club is a club for learners who have disclosed they have Autistic Spectrum Disorder, Aspergers or Autism. If you have questions about this, you can speak to Rich Griffiths (rgiffiths@cavc.ac.uk) who is the ALN Lead for learners with ASD	QnA.xlsx		[]	false	[]	20
Who do I speak to about Exam Access Arranagements?	Speak to your tutor and the ALN team if you have previously had exam access arrangements. 	QnA.xlsx		[]	false	[]	21
What kind of support is available at college?	Everyone at college has access to the Skills Centres, financial advice, Microsoft Office 365 and other software, careers advise, personal tutor, Success Centres, Wellbeing Hub's, counselling, advice from the ALN team and our Technology Enhanced Learning Makerspace at the City Centre Campus.	QnA.xlsx		[]	false	[]	22
Where can I get help with maths and English?	You can attend a drop-in session at our Skills Centres and work with a Learning and Skills Coach who can help you develop you Maths and English skills. 	QnA.xlsx		[{"clusterHead":"can you help me?#","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"can you help me?#","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	23
I think I have Additional Learning Needs. Who can I speak to about this?	Advice and guidance is available from our ALN Hub's at our City Centre and Colcot Road campus'. Or, you can contact the ALN Team on the Learner Portal	QnA.xlsx		[]	false	[]	24
Who can help me with progression?	You can speak to an Employability and Progressions Officer about your progression options. They can give you advice and guidance on what and where to go next. [employabilityprogression@cavc.ac.uk]	QnA.xlsx		[]	false	[]	25
Who can I speak to if I am worried about my exams?	Speak to your tutor, or drop in to the Wellbeing Hub to talk to someone about exam stress techniques. 	QnA.xlsx		[]	false	[]	26
Is there any technology or apps that can help me with reading or writing?	Yes! There is software installed on all the computers across college called Read&Write which helps you hear emails or documents read out loud to text prediction, picture dictionaries, summary highlighters and a grammar, spelling and confusable words checker. Read&Write makes lots of everyday literacy tasks simpler, quicker and more accurate. For more help with this, contact Wing on vtang@cavc.ac.uk	QnA.xlsx		[]	false	[]	27
Where can I find the Wellbeing Hubs?	There is a Wellbeing Officer based at each Campus, City Centre is 229 (located in the success centre), Colcot Road is based in reception (the room with glass blocks), ICAT is on the 1st Floor Balcony, Leckwith's Wellbeing Officer is based in the skills centre and Eastern Highs Wellbeing Hub is based opposite the common room.	QnA.xlsx		[]	false	[]	28
I have depression, who can help?	There is a Wellbeing Officer based at each Campus, City Centre is 229 (located in the success centre), Colcot Road is based in reception (the room with glass blocks), ICAT is on the 1st Floor Balcony, Leckwith's Wellbeing Officer is based in the skills centre and Eastern Highs Wellbeing Hub is based opposite the common room.	QnA.xlsx		[]	false	[]	28
Im worried about becoming homeless, where can I get help?	Depending on your age, circumstances and where you live different agencies maybe able to support you. If you aren't a young person please contact your local council (see web links) or pop in to one of our Hubs to speak to a wellbeing officer. 	QnA.xlsx		[]	false	[]	29
I want to move out, who can help?	This will depend on your age, if you are under 18 you can contact https://www.llamau.org.uk/Pages/FAQs/Category/i-am-a-young-person-and-need-help	QnA.xlsx		[{"clusterHead":"can you help me?#","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"can you help me?#","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	30
Im worried about substance misuse, where can I get help?	http://www.dan247.org.uk/	QnA.xlsx	http://www.e-das.wales.nhs.uk/home	[]	false	[]	31
I've got a drug problem	http://www.dan247.org.uk/	QnA.xlsx	http://www.e-das.wales.nhs.uk/home	[]	false	[]	31
I take drugs	http://www.dan247.org.uk/	QnA.xlsx	http://www.e-das.wales.nhs.uk/home	[]	false	[]	31
Drugs	http://www.dan247.org.uk/	QnA.xlsx	http://www.e-das.wales.nhs.uk/home	[]	false	[]	31
Do you provide free condoms?	Free C Card products are available the Hub.	QnA.xlsx		[]	false	[]	32
Im a  female in abusive relationship, where can i get help?	[https://livefearfree.gov.wales/?lang=en](https://livefearfree.gov.wales/?lang=en)	QnA.xlsx		[]	false	[]	33
I feel anxious, who can help?	[https://www.mind.org.uk/media/34633809/anxiety-2017-web-pdf.pdf](https://www.mind.org.uk/media/34633809/anxiety-2017-web-pdf.pdf)	QnA.xlsx		[]	false	[]	34
Im worried about radicalisation/ extremism, what should I do?	everyone has the right to feel safe, please talk to your tutor or Wellbeing Officer about your concerns.	QnA.xlsx		[]	false	[]	35
Will you talk to my parents/carer about what I disclose in college?	This depends on your age and whether what you discuss with us is about the serious risk of harm to yourself or others. Your Wellbeing Officer can help explain this. 	QnA.xlsx		[]	false	[]	36
Will you tell social services what I tell you?	This depends on your age and whether what you discuss with us is about the serious risk of harm to yourself or others. Your Wellbeing Officer can help explain the heop and support Social Services might offer you. 	QnA.xlsx		[]	false	[]	37
Im a care leaver, what services are available to me in college?	Come and see your Wellbeing Officer who can offer mentoring support and help you apply for finanical assistance.	QnA.xlsx		[]	false	[]	38
Im worried about how much work I need to do, who can help?	The team of Learning Coaches can help you. They are based in the Skills Centres in all campuses.	QnA.xlsx		[{"clusterHead":"can you help me?#","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"can you help me?#","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	39
Are you counsellors?	The college has a team of qualified and experienced counsellors. 	QnA.xlsx		[]	false	[]	40
I have no food, who can help?	Come and see your Wellbeing officer who can offer you a foodbank voucher and signpost you to outside agencies.	QnA.xlsx		[]	false	[]	41
I dont have any money, who can help?	If you are studying in Colcot Road you can access POBL who can help you with financial advice.	QnA.xlsx		[{"clusterHead":"can you help me?#","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"can you help me?#","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	42
Im unable to get to college, can I have a bus pass?	Student Services are able to help with applications and bus passes.	QnA.xlsx		[]	false	[]	43
I want to quit college, who can help?	You can contact your friendly Employment Progression Officer.	QnA.xlsx		[]	false	[]	44
Am I a young carer?	[http://www.ymcacardiff.wales/what-we-do/family-work/young-carers/](http://www.ymcacardiff.wales/what-we-do/family-work/young-carers/)	QnA.xlsx		[]	false	[]	45
I want to self harm	Are you under 25 years old? https://www.amberproject.org.uk/	QnA.xlsx		[]	false	[]	46
Can i talk to someone about my sexuality?	[https://www.stonewallcymru.org.uk/](https://www.stonewallcymru.org.uk/)	QnA.xlsx		[]	false	[]	47
I think I have an eating disorder?	[https://www.bing.com/search?q=beat+waleseating+disorders&qs=n&form=QBRE&sp=-1&pq=beat+waleseat&sc=0-13&sk=&cvid=645838117E834979913A56C846359DD1](https://www.bing.com/search?q=beat+waleseating+disorders&qs=n&form=QBRE&sp=-1&pq=beat+waleseat&sc=0-13&sk=&cvid=645838117E834979913A56C846359DD1)	QnA.xlsx		[]	false	[]	48
Can I talk to someone about death?	[https://www.cruse.org.uk/get-help/local-services/wales/cardiff-and-the-vale](https://www.cruse.org.uk/get-help/local-services/wales/cardiff-and-the-vale)	QnA.xlsx		[]	false	[]	49
I am a victim of a crime	[https://www.victimsupport.org.uk/help-and-support/get-help/support-near-you/wales/south-wales](https://www.victimsupport.org.uk/help-and-support/get-help/support-near-you/wales/south-wales)	QnA.xlsx		[]	false	[]	50
I am worried I might be affected by FGM, where can I find more information?	[https://livefearfree.gov.wales/female-genital-mutilation/?skip=1&lang=en](https://livefearfree.gov.wales/female-genital-mutilation/?skip=1&lang=en)	QnA.xlsx		[{"clusterHead":"https://1.1.1.1","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"https://1.1.1.1","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	51
I have PTSD	[https://www.mind.org.uk/media/23538921/ptsd-2018.pdf](https://www.mind.org.uk/media/23538921/ptsd-2018.pdf)	QnA.xlsx		[]	false	[]	52
Im being bullied	If you are being bullied in college, you can talk to you tutor or come to the Wellbing Hub.	QnA.xlsx		[]	false	[]	53
Can I access sanitary products?	There are free sanitary products for students in selected toilets around campus. Wellbeing Hub also has free products.	QnA.xlsx		[]	false	[]	54
Who can I talk to about the death of my parents?	[https://www.winstonswish.org/supporting-you/](https://www.winstonswish.org/supporting-you/)	QnA.xlsx		[]	false	[]	55
I feel I am a victim of slavery, who can I talk too?	[https://livefearfree.gov.wales/slavery/i-need-help/?lang=en](https://livefearfree.gov.wales/slavery/i-need-help/?lang=en)	QnA.xlsx		[]	false	[]	56
I'm thinking of leaving	Sorry to hear that, have you spoken to your tutor? 	Editorial		[]	false	[]	152
I want to leave	Sorry to hear that, have you spoken to your tutor? 	Editorial		[]	false	[]	152
Want to leave college	Sorry to hear that, have you spoken to your tutor? 	Editorial		[]	false	[]	152
I want to drop out	Sorry to hear that, have you spoken to your tutor? 	Editorial		[]	false	[]	152
How do I make sure I pass my exam?	Have you been to the Skills Centre? Have you tried these revision guides (with link to revision guides/ Bitesize)	Editorial		[]	false	[]	153
I think I might be gay	Would you like to talk to someone? The well being team can help?	Editorial		[]	false	[]	154
I am drinking too much	I'm glad you have shared this - would you be happy to pop into well being so we can chat a bit more and find the right help for you.	Editorial		[]	false	[]	155
My friends hate me	It sounds like you are having a hard time. Please come and chat to a well being officer based in the library.	Editorial		[]	false	[]	156
My dad is going to prison and I'm feeling very worried and upset	It sounds like you are having a very difficult time. Have you tried to contact [https://www.barnardos.org.uk/what-we-do/helping-families/children-with-a-parent-in-prison](https://www.barnardos.org.uk/what-we-do/helping-families/children-with-a-parent-in-prison "https://www.barnardos.org.uk/what-we-do/helping-families/children-with-a-parent-in-prison")	Editorial		[{"clusterHead":"My 1 year old son is having terrible nightmares and is scared of going to his dad's","totalAutoSuggestedCount":1,"totalUserSuggestedCount":0,"alternateQuestionList":[{"question":"My 1 year old son is having terrible nightmares and is scared of going to his dad's","autoSuggestedCount":1,"userSuggestedCount":0}]}]	false	[]	157
I think I'm addicted to cannabis	Pop into the Wellbeing Hub on your campus for advice and guidance, and a referral to specialist support services.	Editorial		[]	false	[]	158
I'm addicted to drugs 	Pop into the Wellbeing Hub on your campus for advice and guidance, and a referral to specialist support services.	Editorial		[]	false	[]	158
drugs\n\n	Pop into the Wellbeing Hub on your campus for advice and guidance, and a referral to specialist support services.	Editorial		[]	false	[]	158
Are we the same age?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you a baby?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you a grown up?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you a grownup?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you a kid?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you a senior?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you a teenager?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you an adult?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you in your teens?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you my age?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you old?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Are you young?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Do you have a birthday?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Do you have an age?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How long ago were you born?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How long has it been since you were born	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How long has it been since you were turned on?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How long have you been alive?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How long have you been chatting?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How long have you been online?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How many times have you been around the sun?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How many years have you been in operation?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How many years have you been online?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How many years have you been operating?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
How old are you?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
In which year were you born?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
What age are you?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
What day is your birthday?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
What is your age?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
What is your birthday?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
What is your sign?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
What month is your birthday in?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
What month is your birthday?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
What's your age?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
What's your birthday?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
What's your sign?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When did they turn you on?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When did you come into being?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When did you come online?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When did you first start working?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When did you start chatting?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When did you start living?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When is your birthday?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When were you born?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When were you brought online?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When were you turned on?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
When's your birthday?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Which month is your birthday?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Which of us is older?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Which of us is younger?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Which one of us is older?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Which one of us is younger?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Which year were you born in?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Who is older, me or you?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Who is older, you or me?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Who is older?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Who's older, me or you?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Who's older, you or me?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
Who's older?	Age doesn't really apply to me.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	159
AMA	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Ask me a question	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Ask me about anything	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Ask me about something	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Ask me anything	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Ask me something	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask anything	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask anything about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask anything about myself	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask me a question?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask me anything	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask me anything about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask me anything about myself	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask me something	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask me something about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask me something about myself	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask me something?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask me why I'm here	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask something	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask something about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you ask something about myself	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you say something to me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Can you say something?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Could you ask me about something?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Could you ask me something	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Do you want me to tell you anything?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Do you want to ask me anything?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Do you want to know anything about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Don't you want to ask anything about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Don't you want to ask me anything	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Don't you want to know about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Don't you want to know anything about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
How about asking me something?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
How about asking something about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
How can I help you?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Is there anything I can tell you about myself?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Is there anything I can tell you about who I am?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Is there anything you want to know about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Is there something you want to know about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask anything	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask anything about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask anything about myself	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask me anything	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask me anything about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask me anything about myself	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask me something	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask me something about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask me something about myself	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask something	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask something about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Please ask something about myself	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Say something	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
Say something to me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What can I inform you about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What can I inform you about?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What can I teach you about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What can I teach you about?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What can I teach you who I am?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What can I tell you about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What can I tell you about?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What can I tell you who I am?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want me to inform you about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want me to inform you about?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want me to inform you who I am?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want me to teach you about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want me to teach you about?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want me to teach you who I am	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want me to tell you about me?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want me to tell you about?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want me to tell you who I am?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want to ask me about?	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want to know about	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want to know about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want to learn about	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What do you want to learn about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What would you like to know about	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
What would you like to know about me	I'm better at answering questions.	qna_chitchat_professional.tsv	editorial:chitchat	[]	false	[]	160
